manuscript_item,metric,context,displayed_value,full_precision_value
Table 2,R_APPROX,n=15,"0.0533 [0.0480, 0.0611]",0.05326006501788736
Table 2,E_PAIR,n=15,Supplement: full precision in artifact,0.0537914484967306
Table 2,E_SHARED,n=15,Supplement: full precision in artifact,0.05228973918020635
Table 2,E_WITHIN,n=15,Supplement: full precision in artifact,0.0015017093165242152
Table 2,F_WITHIN,n=15,"2.79% [2.38%, 3.20%]",0.02791725001819737
Table 2,ABS_DELTA,n=15,Supplement: full precision in artifact,0.05599248689804881
Table 2,RMS_DELTA,n=15,"0.0775 [0.0746, 0.0811]",0.07750378872091906
Table 2,task_MSE,n=15,5.08,5.080262159954815
Table 2,minimum_norm_task_MSE,n=15,5.02,5.02249603978752
Table 2,mean_posterior_variance,n=15,5.01,5.012609382830302
